1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
1373	-0.531101	71.852591	500.112813	0.007920	25.3
1374	-0.531439	70.885164	505.378329	0.007483	24.8
1375	-0.505604	71.880200	499.964153	0.008455	25.1
1376	-0.533046	72.063915	498.977190	0.007567	24.7
1377	-0.533969	71.096487	504.218694	0.008766	25.2
1378	-0.534517	70.150002	509.454412	0.007284	24.6
1379	-0.532866	71.150002	503.925878	0.009482	25.3
1380	-0.541435	70.182575	509.272422	0.006873	24.6
1381	-0.527516	69.215196	514.733354	0.008913	25.1
1382	-0.532464	70.215194	509.090304	0.011818	30.6
1383	-0.526589	71.215194	503.569627	0.010702	28.3
1384	-0.546275	70.247766	508.908574	0.007913	25.2
1385	-0.521882	70.675046	506.536649	0.010623	24.8
1386	-0.522520	69.707619	511.939033	0.008139	24.9
1387	-0.525425	68.740191	517.457896	0.009006	24.7
1388	-0.543825	69.740191	511.755264	0.008448	24.8
1389	-0.548948	68.772764	517.270145	0.011845	25.0
1390	-0.540778	69.772676	511.572123	0.006522	24.9
1391	-0.529723	70.772676	505.997783	0.010223	25.0
1392	-0.522698	71.280808	503.211574	0.009318	24.9
1393	-0.533883	70.313805	508.540527	0.009768	24.8
1394	-0.525141	69.346390	513.985899	0.010358	25.2
1395	-0.552000	70.346390	508.359121	0.005987	25.0
1396	-0.547867	69.378963	513.800656	0.010296	25.0
1397	-0.537057	70.378959	508.177935	0.009308	24.8
1398	-0.543527	69.411549	513.615475	0.007724	25.0
1399	-0.543892	70.219850	509.064317	0.008923	24.9
1400	-0.545687	71.219850	503.544201	0.008161	24.6
1401	-0.559546	72.219850	498.142517	0.009810	24.7
1402	-0.561002	73.190593	493.008581	0.007953	25.1
